Date : 2024-04-25 20:37:06
Directory : /Users/kristianeldejohansen/Kristian.E.Johansen_empty
Total : 67 files,  3005 codes, 955 comments, 880 blanks, all 4840 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| Java         |         62 |      2,792 |        907 |        828 |      4,527 |
| XML          |          1 |         97 |          6 |          7 |        110 |
| YAML         |          1 |         68 |         26 |         16 |        110 |
| Markdown     |          1 |         25 |          0 |         12 |         37 |
| Shell Script |          2 |         23 |         16 |         17 |         56 |
+--------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |         67 |      3,005 |        955 |        880 |      4,840 |
| . (Files)                                                                                                                     |          5 |        213 |         48 |         52 |        313 |
| src                                                                                                                           |         62 |      2,792 |        907 |        828 |      4,527 |
| src/main                                                                                                                      |         43 |      1,941 |        846 |        565 |      3,352 |
| src/main/consent                                                                                                              |          1 |          6 |         20 |          5 |         31 |
| src/main/java                                                                                                                 |         42 |      1,935 |        826 |        560 |      3,321 |
| src/main/java/no                                                                                                              |         42 |      1,935 |        826 |        560 |      3,321 |
| src/main/java/no/uib                                                                                                          |         42 |      1,935 |        826 |        560 |      3,321 |
| src/main/java/no/uib/inf101                                                                                                   |         42 |      1,935 |        826 |        560 |      3,321 |
| src/main/java/no/uib/inf101/chess                                                                                             |         37 |      1,849 |        741 |        526 |      3,116 |
| src/main/java/no/uib/inf101/chess (Files)                                                                                     |          1 |         30 |          0 |         10 |         40 |
| src/main/java/no/uib/inf101/chess/controller                                                                                  |          3 |        138 |         87 |         49 |        274 |
| src/main/java/no/uib/inf101/chess/model                                                                                       |         22 |      1,092 |        424 |        318 |      1,834 |
| src/main/java/no/uib/inf101/chess/model (Files)                                                                               |          8 |        541 |        244 |        144 |        929 |
| src/main/java/no/uib/inf101/chess/model/aiPlayer                                                                              |          5 |        165 |          0 |         56 |        221 |
| src/main/java/no/uib/inf101/chess/model/pieces                                                                                |          9 |        386 |        180 |        118 |        684 |
| src/main/java/no/uib/inf101/chess/view                                                                                        |         11 |        589 |        230 |        149 |        968 |
| src/main/java/no/uib/inf101/chess/view (Files)                                                                                |          4 |        412 |        193 |         85 |        690 |
| src/main/java/no/uib/inf101/chess/view/design                                                                                 |          7 |        177 |         37 |         64 |        278 |
| src/main/java/no/uib/inf101/grid                                                                                              |          5 |         86 |         85 |         34 |        205 |
| src/test                                                                                                                      |         19 |        851 |         61 |        263 |      1,175 |
| src/test/java                                                                                                                 |         19 |        851 |         61 |        263 |      1,175 |
| src/test/java/no                                                                                                              |         19 |        851 |         61 |        263 |      1,175 |
| src/test/java/no/uib                                                                                                          |         19 |        851 |         61 |        263 |      1,175 |
| src/test/java/no/uib/inf101                                                                                                   |         19 |        851 |         61 |        263 |      1,175 |
| src/test/java/no/uib/inf101/chess                                                                                             |         16 |        675 |         51 |        210 |        936 |
| src/test/java/no/uib/inf101/chess/model                                                                                       |         13 |        592 |         51 |        191 |        834 |
| src/test/java/no/uib/inf101/chess/model (Files)                                                                               |          4 |        253 |         18 |         75 |        346 |
| src/test/java/no/uib/inf101/chess/model/aiPlayer                                                                              |          2 |         53 |          0 |         16 |         69 |
| src/test/java/no/uib/inf101/chess/model/pieces                                                                                |          7 |        286 |         33 |        100 |        419 |
| src/test/java/no/uib/inf101/chess/view                                                                                        |          3 |         83 |          0 |         19 |        102 |
| src/test/java/no/uib/inf101/chess/view/design                                                                                 |          3 |         83 |          0 |         19 |        102 |
| src/test/java/no/uib/inf101/grid                                                                                              |          3 |        176 |         10 |         53 |        239 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                                                      | language     | code       | comment    | blank      | total      |
